b'Altura do tanque 1: 0.2557080444032403 Vazao do tanque 1: 1.7442967262360485, Valor setado pelo user: 2'
b'Altura do tanque 1: 0.1708482372999362 Vazao do tanque 1: 1.829162243555957, Valor setado pelo user: 2.0                       Altura do tanque 2: 0.1292866464898763 Vazao do tanque 2: 0.870714182429973, Valor setado pelo user: 1'
b'Altura do tanque 1: 0.1708482372999362 Vazao do tanque 1: 1.82916225581339, Valor setado pelo user: 2.0                       Altura do tanque 2: 0.1292866464898763 Vazao do tanque 2: 0.870714293358077, Valor setado pelo user: 1'
b'Altura do tanque 1: 0.2568563966360217 Vazao do tanque 1: 1.7431548337409364, Valor setado pelo user: 2.0                       Altura do tanque 2: 0.14634542370782788 Vazao do tanque 2: 0.8536554652885066, Valor setado pelo user: 1'
b'Altura do tanque 1: 0.2568563966360217 Vazao do tanque 1: 1.74315608985136, Valor setado pelo user: 2.0                       Altura do tanque 2: 0.14634542370782788 Vazao do tanque 2: 0.8536552822644166, Valor setado pelo user: 1'
b'Altura do tanque 1: 0.18032713897460312 Vazao do tanque 1: 1.8196827291107307, Valor setado pelo user: 2.0                       Altura do tanque 2: 0.13054707098551988 Vazao do tanque 2: 0.8694536936112867, Valor setado pelo user: 1'
b'Altura do tanque 1: 0.18032713897460312 Vazao do tanque 1: 1.8196831454514504, Valor setado pelo user: 2.0                       Altura do tanque 2: 0.13054707098551988 Vazao do tanque 2: 0.8694537187385665, Valor setado pelo user: 1'
b'Altura do tanque 1: 0.11624428282142438 Vazao do tanque 1: 1.883766599634885, Valor setado pelo user: 2.0                       Altura do tanque 2: 0.12461929905707843 Vazao do tanque 2: 0.8753815639803455, Valor setado pelo user: 1'
b'Altura do tanque 1: 0.11624428282142438 Vazao do tanque 1: 1.8837652582135185, Valor setado pelo user: 2.0                       Altura do tanque 2: 0.12461929905707843 Vazao do tanque 2: 0.8753814162154167, Valor setado pelo user: 1'
b'Altura do tanque 1: 0.0752794875011264 Vazao do tanque 1: 1.9247302354167715, Valor setado pelo user: 2.0                       Altura do tanque 2: 0.12454442283067797 Vazao do tanque 2: 0.8754563642037637, Valor setado pelo user: 1'
b'Altura do tanque 1: 0.0752794875011264 Vazao do tanque 1: 1.9247316570151873, Valor setado pelo user: 2.0                       Altura do tanque 2: 0.12454442283067797 Vazao do tanque 2: 0.8754564293372884, Valor setado pelo user: 1'
b'Altura do tanque 1: 0.04349920973063195 Vazao do tanque 1: 1.9565107007274045, Valor setado pelo user: 2.0                       Altura do tanque 2: 0.12547002831514653 Vazao do tanque 2: 0.8745307153845939, Valor setado pelo user: 1'
b'Altura do tanque 1: 0.04349920973063195 Vazao do tanque 1: 1.9565119176704826, Valor setado pelo user: 2.0                       Altura do tanque 2: 0.12547002831514653 Vazao do tanque 2: 0.8745307830746455, Valor setado pelo user: 1'
b'Altura do tanque 1: 0.02024488724607226 Vazao do tanque 1: 1.9797655789277184, Valor setado pelo user: 2.0                       Altura do tanque 2: 0.12667982201612582 Vazao do tanque 2: 0.8733209412654217, Valor setado pelo user: 1'
b'Altura do tanque 1: 0.02024488724607226 Vazao do tanque 1: 1.97976653811946, Valor setado pelo user: 2.0                       Altura do tanque 2: 0.12667982201612582 Vazao do tanque 2: 0.8733209867655969, Valor setado pelo user: 1'
b'Altura do tanque 1: 0.004229063661861763 Vazao do tanque 1: 0.9957758486749935, Valor setado pelo user: 1.0                       Altura do tanque 2: 0.12767566202884117 Vazao do tanque 2: 1.8723259064171025, Valor setado pelo user: 2.0'
b'Altura do tanque 1: -0.21524480168405505 Vazao do tanque 1: 1.2152518012520876, Valor setado pelo user: 1.0                       Altura do tanque 2: 0.32829888878030894 Vazao do tanque 2: 1.6717027606869903, Valor setado pelo user: 2.0'
b'Altura do tanque 1: -0.17364051276588954 Vazao do tanque 1: 1.1736465675776282, Valor setado pelo user: 1.0                       Altura do tanque 2: 0.2884799948752205 Vazao do tanque 2: 1.71152152495466, Valor setado pelo user: 2.0'
b'Altura do tanque 1: -0.17364051276588954 Vazao do tanque 1: 1.173647697206684, Valor setado pelo user: 1.0                       Altura do tanque 2: 0.2884799948752205 Vazao do tanque 2: 1.7115216933683155, Valor setado pelo user: 2.0'
b'Altura do tanque 1: -0.17897715898460123 Vazao do tanque 1: 1.1789840859484833, Valor setado pelo user: 1.0                       Altura do tanque 2: 0.29620503786228336 Vazao do tanque 2: 1.7037967255665334, Valor setado pelo user: 2.0'
b'Altura do tanque 1: -0.17897715898460123 Vazao do tanque 1: 1.178984037608679, Valor setado pelo user: 1.0                       Altura do tanque 2: 0.29620503786228336 Vazao do tanque 2: 1.703796644804252, Valor setado pelo user: 2.0'
b'Altura do tanque 1: -0.1666262005961463 Vazao do tanque 1: 1.1666320596252993, Valor setado pelo user: 1.0                       Altura do tanque 2: 0.2938982604042739 Vazao do tanque 2: 1.7061031532726598, Valor setado pelo user: 2.0'
b'Altura do tanque 1: -0.1666262005961463 Vazao do tanque 1: 1.16663289901347, Valor setado pelo user: 1.0                       Altura do tanque 2: 0.2938982604042739 Vazao do tanque 2: 1.7061033755765291, Valor setado pelo user: 2.0'
b'Altura do tanque 1: -0.1498348595692209 Vazao do tanque 1: 1.14984137499275, Valor setado pelo user: 1.0                       Altura do tanque 2: 0.293163781249394 Vazao do tanque 2: 1.7068378648243654, Valor setado pelo user: 2.0'
b'Altura do tanque 1: -0.1498348595692209 Vazao do tanque 1: 1.149841500210586, Valor setado pelo user: 1.0                       Altura do tanque 2: 0.293163781249394 Vazao do tanque 2: 1.70683785253217, Valor setado pelo user: 2.0'
b'Altura do tanque 1: -0.12523905700377147 Vazao do tanque 1: 1.125245681060796, Valor setado pelo user: 1.0                       Altura do tanque 2: 0.29191170338418393 Vazao do tanque 2: 1.7080900865230415, Valor setado pelo user: 2.0'
b'Altura do tanque 1: -0.12523905700377147 Vazao do tanque 1: 1.1252454174168496, Valor setado pelo user: 1.0                       Altura do tanque 2: 0.29191170338418393 Vazao do tanque 2: 1.7080899264755403, Valor setado pelo user: 2.0'
b'Altura do tanque 1: -0.09226807511362424 Vazao do tanque 1: 1.0922742254578204, Valor setado pelo user: 1.0                       Altura do tanque 2: 0.2911323406972338 Vazao do tanque 2: 1.7088693056272646, Valor setado pelo user: 2.0'
b'Altura do tanque 1: -0.09226807511362424 Vazao do tanque 1: 1.0922749553104842, Valor setado pelo user: 1.0                       Altura do tanque 2: 0.2911323406972338 Vazao do tanque 2: 1.7088692615375465, Valor setado pelo user: 2.0'
b'Altura do tanque 1: -0.04804382240724346 Vazao do tanque 1: 1.0480499200311957, Valor setado pelo user: 1.0                       Altura do tanque 2: 0.2921137901798713 Vazao do tanque 2: 1.7078879127537108, Valor setado pelo user: 2.0'
b'Altura do tanque 1: -0.04804382240724346 Vazao do tanque 1: 1.0480496755218693, Valor setado pelo user: 1.0                       Altura do tanque 2: 0.2921137901798713 Vazao do tanque 2: 1.7078877450405925, Valor setado pelo user: 2.0'
b'Altura do tanque 1: 0.016455746424599398 Vazao do tanque 1: 0.983550569995645, Valor setado pelo user: 1.0                       Altura do tanque 2: 0.2993081126361994 Vazao do tanque 2: 1.7006937001315245, Valor setado pelo user: 2.0'
b'Altura do tanque 1: 0.016455746424599398 Vazao do tanque 1: 0.983549956951794, Valor setado pelo user: 1.0                       Altura do tanque 2: 0.2993081126361994 Vazao do tanque 2: 1.7006935448580638, Valor setado pelo user: 2.0'
b'Altura do tanque 1: 0.09367232701987296 Vazao do tanque 1: 0.9063327702574725, Valor setado pelo user: 1.0                       Altura do tanque 2: 0.3176455097495053 Vazao do tanque 2: 1.6823560291000155, Valor setado pelo user: 2.0'
b'Altura do tanque 1: 0.09367232701987296 Vazao do tanque 1: 0.9063329776250294, Valor setado pelo user: 1.0                       Altura do tanque 2: 0.3176455097495053 Vazao do tanque 2: 1.68235612852665, Valor setado pelo user: 2.0'
b'Altura do tanque 1: -0.02651557731440045 Vazao do tanque 1: 1.0265213518744654, Valor setado pelo user: 1.0                       Altura do tanque 2: 0.29199983161760235 Vazao do tanque 2: 1.7080017679248047, Valor setado pelo user: 2.0'
b'Altura do tanque 1: -0.02651557731440045 Vazao do tanque 1: 1.0265214359457155, Valor setado pelo user: 1.0                       Altura do tanque 2: 0.29199983161760235 Vazao do tanque 2: 1.708001711390364, Valor setado pelo user: 2.0'
b'Altura do tanque 1: -0.07087555370801582 Vazao do tanque 1: 1.0708816267515449, Valor setado pelo user: 1.0                       Altura do tanque 2: 0.2915483204092278 Vazao do tanque 2: 1.708453387699945, Valor setado pelo user: 2.0'
b'Altura do tanque 1: -0.07087555370801582 Vazao do tanque 1: 1.0708814757572536, Valor setado pelo user: 1.0                       Altura do tanque 2: 0.2915483204092278 Vazao do tanque 2: 1.7084532308652733, Valor setado pelo user: 2.0'
b'Altura do tanque 1: -0.11030588227977565 Vazao do tanque 1: 1.1103121650561392, Valor setado pelo user: 1.0                       Altura do tanque 2: 0.2913078116315502 Vazao do tanque 2: 1.7086938304212165, Valor setado pelo user: 2.0'
b'Altura do tanque 1: -0.11030588227977565 Vazao do tanque 1: 1.1103121261951374, Valor setado pelo user: 1.0                       Altura do tanque 2: 0.2913078116315502 Vazao do tanque 2: 1.7086937945389047, Valor setado pelo user: 2.0'
b'Altura do tanque 1: -0.13851610870548114 Vazao do tanque 1: 1.1385226491393352, Valor setado pelo user: 1.0                       Altura do tanque 2: 0.2925145798697829 Vazao do tanque 2: 1.7074871115649348, Valor setado pelo user: 2.0'
